rank,content_id,content_type,source_id,source_title,user_id,user_name,content_preview,content_text,created_at,like_count,parent_content_id,root_content_id
44,bilibili_comment:276169810560,comment,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:386825429,黄辉冯师傅,我打算在西贝旁边开一个东贝。西贝炒不了的菜我东贝炒，西贝煲不了的汤我东贝煲。一句话， 西贝做得了的菜我东贝要做，西贝做不了的菜我更要做。新鲜食材，当天现炒，这，就是——东贝。[doge_金箍][doge_金箍][doge_金箍],我打算在西贝旁边开一个东贝。西贝炒不了的菜我东贝炒，西贝煲不了的汤我东贝煲。一句话， 西贝做得了的菜我东贝要做，西贝做不了的菜我更要做。新鲜食材，当天现炒，这，就是——东贝。[doge_金箍][doge_金箍][doge_金箍],2025-09-15T22:29:33+08:00,520,,
45,bilibili_comment:274622695761,comment,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:357773251,特立独醒的猫先森,鸡汤是这么现熬的[笑哭]我要笑死了～一份鸡汤山药豆腐汤卖43[doge],鸡汤是这么现熬的[笑哭]我要笑死了～一份鸡汤山药豆腐汤卖43[doge],2025-09-14T12:33:27+08:00,498,,
46,bilibili_comment:274618546017,reply,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:239832158,夜微凉人生忆,不行，因为没有油烟机，油烟出不去[笑哭],不行，因为没有油烟机，油烟出不去[笑哭],2025-09-14T11:53:09+08:00,476,bilibili_comment:276014706096,bilibili_comment:276014706096
47,bilibili_comment:275868105248,comment,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:346432948,agere23,有自如的那味了，想想都多少年了，看的有点热泪盈眶，想起青春了[笑哭],有自如的那味了，想想都多少年了，看的有点热泪盈眶，想起青春了[笑哭],2025-09-12T23:30:14+08:00,471,,
48,bilibili_comment:274473143361,reply,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:234574674,萌抽抽儿,去萨莉亚就是为了吃预制菜的,去萨莉亚就是为了吃预制菜的,2025-09-12T22:43:55+08:00,447,bilibili_comment:274471553313,bilibili_comment:274471553313
49,bilibili_comment:274485405233,reply,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:38514168,Kalataer,在广东，甚至有些大排档都有鱼池的，西贝的这个价格甚至不愿意早起去买鱼,在广东，甚至有些大排档都有鱼池的，西贝的这个价格甚至不愿意早起去买鱼,2025-09-13T01:09:29+08:00,445,bilibili_comment:275875231856,bilibili_comment:275875231856
50,bilibili_comment:275926238096,comment,bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,bilibili:408436013,Mr-__,左右脑互搏,左右脑互搏,2025-09-13T15:15:02+08:00,435,,
51,bilibili_comment:286552166849,comment,bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,bilibili:68389788,休伯利安号战列巡航舰,五个人点十五个菜，难道不是因为菜量小吗？,五个人点十五个菜，难道不是因为菜量小吗？,2026-01-16T10:11:28+08:00,420,,
52,bilibili_comment:276217578704,comment,bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,bilibili:8378946,WzZP,神人老板，预制菜就预制菜嘛，承认或者沉默就完事了，制作规范卫生的话又不是什么不能吃的东西，肯德基做了这么多年的预制菜，连土豆泥都是土豆粉调的，也没见怎样，他就非要怼。,神人老板，预制菜就预制菜嘛，承认或者沉默就完事了，制作规范卫生的话又不是什么不能吃的东西，肯德基做了这么多年的预制菜，连土豆泥都是土豆粉调的，也没见怎样，他就非要怼。,2025-09-16T13:41:35+08:00,404,,
53,bilibili_comment:274556246897,comment,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,bilibili:90581079,我的艾达老婆,然而现在的冰箱大部分还没装闭门器,然而现在的冰箱大部分还没装闭门器,2025-09-13T19:33:03+08:00,401,,
54,bilibili_comment:274701064321,comment,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:164099874,叁石头,冶春的蟹黄汤包，20多一个，全是蟹黄跟蟹肉。厨师在后面现拆现包，全透明的窗户可看。他家也有速冻包子卖，但是跟堂食不是一个价格。,冶春的蟹黄汤包，20多一个，全是蟹黄跟蟹肉。厨师在后面现拆现包，全透明的窗户可看。他家也有速冻包子卖，但是跟堂食不是一个价格。,2025-09-15T08:05:55+08:00,397,,
55,bilibili_comment:276040961968,reply,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:235949,博丽灵梦X,甚至羊腿做出来以后卖不完还会隔夜继续卖，隔夜和新鲜俩字我感觉差距有亿点点大[妙啊],甚至羊腿做出来以后卖不完还会隔夜继续卖，隔夜和新鲜俩字我感觉差距有亿点点大[妙啊],2025-09-14T16:18:55+08:00,387,bilibili_comment:274617905569,bilibili_comment:274617905569
56,bilibili_comment:276085428496,comment,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:19412032,鸣谦s,其实我一直想不明白一个问题，既然都骂西贝又贵又难吃，那到底是谁在去吃西贝？这玩意也不是那种偏商务的饭店啊,其实我一直想不明白一个问题，既然都骂西贝又贵又难吃，那到底是谁在去吃西贝？这玩意也不是那种偏商务的饭店啊,2025-09-14T23:59:11+08:00,380,,
57,bilibili_comment:274585504529,comment,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:233587785,_旧青年,今天刚吃的米其林，八个生煎22块[doge],今天刚吃的米其林，八个生煎22块[doge],2025-09-14T00:24:11+08:00,378,,
58,bilibili_comment:274649097281,comment,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:2151196,尼奥特里斯里德,西贝在自救跟自证之间选择了自杀[笑哭],西贝在自救跟自证之间选择了自杀[笑哭],2025-09-14T17:35:22+08:00,369,,
59,bilibili_comment:275912427568,comment,bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,bilibili:304111943,未定之两,什么没预制菜，他家就是预制菜的鼻祖,什么没预制菜，他家就是预制菜的鼻祖,2025-09-13T12:42:34+08:00,354,,
60,bilibili_comment:275976368000,comment,bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,bilibili:415386941,一人天上飞,贾国龙对预制菜的理解是：把包装打开直接吃就是预制菜。把包装打开加热后摆盘再吃，则不是预制菜。[doge],贾国龙对预制菜的理解是：把包装打开直接吃就是预制菜。把包装打开加热后摆盘再吃，则不是预制菜。[doge],2025-09-13T23:35:19+08:00,354,,
61,bilibili_comment:275864619904,reply,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,罗永浩专门克姓西的，早期不是炮轰过西门子,罗永浩专门克姓西的，早期不是炮轰过西门子,2025-09-12T22:56:12+08:00,346,bilibili_comment:275864553072,bilibili_comment:275864553072
